Latitude,Longtitude
29.75798979999999,-95.343042
29.751707,-95.3432923
29.7592103,-95.3486503
29.755689,-95.3428897
29.760466,-95.34775309999999
29.750368,-95.324186
29.7620542,-95.3504329
29.7521265,-95.32772179999999
29.7567636,-95.34196089999999
29.7571785,-95.3485446
29.7592103,-95.3486503
29.7555605,-95.347974
29.7557693,-95.3462213
29.755689,-95.3428897
29.750575,-95.33658799999999
29.7439371,-95.32649459999999
29.760362,-95.3452808
29.7592103,-95.3486503
29.7416159,-95.3225126
29.7570944,-95.34517849999999
29.7472306,-95.3397543
29.760466,-95.34775309999999
29.760362,-95.3452808
29.7547024,-95.34161979999999
29.7636645,-95.35201529999999
29.7423905,-95.3214094
29.7581973,-95.3443142
29.760466,-95.34775309999999
29.7555605,-95.347974
29.7636645,-95.35201529999999
29.7565189,-95.3485407
29.7439684,-95.3335599
29.7493841,-95.33511399999999
29.7475918,-95.3403388
29.7516931,-95.3103771
29.755689,-95.3428897
29.7503866,-95.3344482
29.74835239999999,-95.3286835
29.7508386,-95.33811650000001
29.7456486,-95.3266148
29.7508386,-95.33811650000001
29.7646579,-95.3429984
29.7470334,-95.3411426
29.7543314,-95.3474304
29.7636645,-95.35201529999999
29.7527267,-95.33918220000001
29.747563,-95.3293671
29.7466578,-95.338771
29.7516931,-95.3103771
29.7450557,-95.32465549999999
29.7430791,-95.327595
29.7408585,-95.3153906
29.7387701,-95.34197809999999
29.7337434,-95.3291266
29.7428845,-95.34124969999999
29.7338192,-95.32934920000001
29.7399125,-95.3272899
29.73368989999999,-95.3296364
29.7397826,-95.3403996
29.7294591,-95.33022059999999
29.69528279999999,-95.28904299999999
29.7295384,-95.3246861
29.73931,-95.33684020000001
29.7316162,-95.32386470000002
29.730712,-95.32908669999999
29.7286247,-95.3273519
29.7429784,-95.3372861
29.7367774,-95.32865120000001
29.6955005,-95.28929959999999
29.7328006,-95.3293891
29.7276496,-95.3209514
29.7397826,-95.3403996
29.7237811,-95.3238775
29.7397826,-95.3403996
29.7294591,-95.33022059999999
29.7380821,-95.3232637
29.7293271,-95.3304808
29.7369201,-95.3289332
29.7374342,-95.3398301
29.7397826,-95.3403996
29.7338603,-95.3322531
29.7514157,-95.35126989999999
29.7436398,-95.35038899999999
29.7497177,-95.3529195
29.7555515,-95.34958519999999
29.748487,-95.356415
29.7514157,-95.35126989999999
29.742922,-95.347769
29.7459265,-95.35213689999999
29.7451202,-95.3461682
29.751221,-95.3479938
29.7275938,-95.3603586
29.7585666,-95.3509543
29.7423719,-95.3498906
29.7456448,-95.3498096
29.756563,-95.3517959
29.7480169,-95.3592524
29.756319,-95.35272529999999
29.7469917,-95.35759000000002
29.7482658,-95.3578576
29.7449478,-95.3541535
29.7527026,-95.3544452
29.7475653,-95.35866
29.744528,-95.34651199999999
29.7469076,-95.3500976
29.74900449999999,-95.35726149999999
29.745304,-95.356735
29.7497653,-95.3566596
29.748573,-95.355611
29.6956849,-95.28942819999999
29.7511974,-95.3517481
29.7466872,-95.3515281
29.7484569,-95.35266229999999
29.7510304,-95.3569371
29.749415,-95.35730199999999
29.7527514,-95.354295
29.7520092,-95.35488099999999
29.748573,-95.355611
29.74826359999999,-95.3578722
29.7500015,-95.3552254
29.7469949,-95.3575773
29.7477571,-95.3570039
29.7487466,-95.3586448
29.7527026,-95.3544452
29.744946,-95.353245
29.749145,-95.3483124
29.749145,-95.3483124
29.7527026,-95.3544452
29.7426648,-95.35218739999999
29.7464368,-95.3529987
29.7502706,-95.35387689999999
29.7454059,-95.35126849999999
29.7472239,-95.3597692
29.7340552,-95.3766948
29.7390268,-95.3789654
29.737306,-95.371597
29.7393661,-95.3687099
29.7441336,-95.3674601
29.7469613,-95.37668509999999
29.7410273,-95.37703429999999
29.7438298,-95.37150349999999
29.7378737,-95.3799258
29.7431995,-95.3796541
29.732941,-95.3842389
29.7248066,-95.49066739999999
29.733575,-95.382502
29.7413945,-95.37867290000001
29.7469477,-95.37030229999999
29.7472843,-95.3726791
29.7472843,-95.3726791
29.737412,-95.376545
29.7454551,-95.3730585
29.74363039999999,-95.37811669999999
29.7371502,-95.37960629999999
29.7458134,-95.3753481
29.7495734,-95.3746357
29.7435526,-95.37959149999999
29.749118,-95.37188019999999
29.7454551,-95.3730585
29.7472843,-95.3726791
29.7371502,-95.37960629999999
29.735006,-95.382886
29.7481909,-95.37056109999999
29.7451122,-95.3739796
29.7377603,-95.3737561
29.73303659999999,-95.38174749999999
29.7427858,-95.3725396
29.7367588,-95.3708252
29.7349472,-95.3722229
29.7374999,-95.3788213
29.7426722,-95.3787754
29.7349472,-95.3722229
29.74226,-95.37526129999999
29.7434772,-95.3754999
29.7425321,-95.3790042
29.7355929,-95.37178510000001
29.7413741,-95.3720915
29.7461283,-95.3671339
29.7425321,-95.3790042
29.7336541,-95.38338979999999
29.733575,-95.382502
29.7354473,-95.37558299999999
29.740348,-95.3786002
29.7400869,-95.38082179999999
29.7445518,-95.3773238
29.7421691,-95.37845569999999
29.7395079,-95.3812745
29.74231,-95.3709478
29.7374999,-95.3788213
29.74009,-95.380827
29.735006,-95.382886
29.745469,-95.3727274
29.7412542,-95.3737678
29.7417577,-95.3743942
29.74332729999999,-95.3770156
29.7395079,-95.3812745
29.7449494,-95.3720311
29.735006,-95.382886
29.7481909,-95.37056109999999
29.746044,-95.3722791
29.7338398,-95.3802958
29.7046418,-95.4089162
29.7444787,-95.36969979999999
29.7394009,-95.3753224
29.7497765,-95.37317759999999
29.7337013,-95.38221809999999
